Prandtl,taux,Nu,chi
80.0,6.412500000000001e-9,4.270127819106025,20.0
100.0,6.412500000000001e-9,4.25448675137769,20.0
1.0,6.412500000000001e-9,1.3845596996893765,50.0
1.5,6.412500000000001e-9,1.794992252118956,50.0
2.0,6.412500000000001e-9,1.0115700097185072,1.0
2.0,6.412500000000001e-9,1.0173679122271895,1.25
2.0,6.412500000000001e-9,1.936882669435318,50.0
3.0,6.412500000000001e-9,4.7397115367691685,50.0
4.0,6.412500000000001e-9,5.524923120887474,50.0
5.0,6.412500000000001e-9,5.4865597119779705,50.0
6.0,6.412500000000001e-9,5.368809154917065,50.0
8.0,6.412500000000001e-9,5.240696345925527,50.0
10.0,6.412500000000001e-9,5.452038189036801,50.0
12.0,6.412500000000001e-9,5.414513879391889,50.0
15.0,6.412500000000001e-9,5.482870964145915,50.0
20.0,6.412500000000001e-9,5.464934863466537,50.0
3.0,6.412500000000001e-9,1.1518894346839486,1.25
30.0,6.412500000000001e-9,5.3728244762924,50.0
40.0,6.412500000000001e-9,5.494003552359752,50.0
50.0,6.412500000000001e-9,5.43158548079044,50.0
60.0,6.412500000000001e-9,5.384841989076935,50.0
80.0,6.412500000000001e-9,5.246444845981163,50.0
100.0,6.412500000000001e-9,5.290519132457289,50.0
4.0,6.412500000000001e-9,1.1808489163781335,1.25
5.0,6.412500000000001e-9,1.4522672170240227,1.25
6.0,6.412500000000001e-9,1.0405889197423799,1.25
8.0,6.412500000000001e-9,1.060789407749936,1.25
10.0,6.412500000000001e-9,1.4930540231485563,1.25
12.0,6.412500000000001e-9,1.0435051825423072,1.25
15.0,6.412500000000001e-9,1.1499045302998845,1.25
20.0,6.412500000000001e-9,1.025070958766388,1.25
3.0,6.412500000000001e-9,1.0118625069165912,1.0
30.0,6.412500000000001e-9,1.0141087079979791,1.25
40.0,6.412500000000001e-9,1.1084596238305864,1.25
50.0,6.412500000000001e-9,1.169232225898333,1.25
60.0,6.412500000000001e-9,1.4010949319574841,1.25
80.0,6.412500000000001e-9,1.0176291818773433,1.25
100.0,6.412500000000001e-9,1.0771126077043869,1.25
1.0,6.412500000000001e-9,1.0125954617011816,1.5
1.5,6.412500000000001e-9,1.035031694484902,1.5
2.0,6.412500000000001e-9,1.1129275581056697,1.5
3.0,6.412500000000001e-9,1.1354787554229673,1.5
4.0,6.412500000000001e-9,1.055922682131264,1.0
4.0,6.412500000000001e-9,1.0316389307022131,1.5
5.0,6.412500000000001e-9,1.0180176625108912,1.5
6.0,6.412500000000001e-9,1.010312089324232,1.5
8.0,6.412500000000001e-9,1.0647016154882567,1.5
10.0,6.412500000000001e-9,1.0724182398935396,1.5
12.0,6.412500000000001e-9,1.0371780043835068,1.5
15.0,6.412500000000001e-9,1.0129987244115506,1.5
20.0,6.412500000000001e-9,1.0195071514774183,1.5
30.0,6.412500000000001e-9,1.3284437254266002,1.5
40.0,6.412500000000001e-9,1.3955646509952269,1.5
5.0,6.412500000000001e-9,1.0357983019015147,1.0
